time, node_id, port_id, bandwidth
700000, 24, 63, 0.072000
700000, 24, 64, 31.644480
700000, 24, 65, 10.548160
700000, 24, 66, 10.620160
700000, 25, 1, 212.331200
700000, 25, 2, 215.203840
700000, 25, 3, 10.548160
700000, 25, 4, 10.548160
700000, 25, 5, 0.072000
700000, 25, 6, 10.548160
700000, 25, 8, 21.168320
700000, 25, 10, 10.548160
700000, 25, 11, 0.072000
700000, 25, 13, 31.788480
700000, 25, 14, 0.072000
700000, 25, 15, 10.600960
700000, 25, 17, 10.548160
700000, 25, 20, 10.620160
700000, 25, 21, 10.620160
700000, 25, 22, 31.764480
700000, 25, 23, 0.144000
700000, 25, 24, 10.692160
700000, 25, 26, 0.072000
700000, 25, 27, 0.072000
700000, 25, 28, 10.548160
700000, 25, 30, 21.096320
700000, 25, 31, 0.144000
700000, 25, 33, 0.072000
700000, 25, 35, 10.548160
700000, 25, 36, 10.548160
700000, 25, 37, 0.072000
700000, 25, 38, 0.072000
700000, 25, 39, 21.096320
700000, 25, 40, 0.024000
700000, 25, 41, 21.240320
700000, 25, 43, 0.072000
700000, 25, 44, 0.072000
700000, 25, 45, 10.620160
700000, 25, 46, 1.664320
700000, 25, 47, 10.620160
700000, 25, 48, 0.072000
700000, 25, 50, 10.548160
700000, 25, 51, 0.072000
700000, 25, 53, 0.072000
700000, 25, 54, 10.581760
700000, 25, 55, 0.144000
700000, 25, 56, 0.072000
700000, 25, 57, 21.096320
700000, 25, 59, 10.548160
700000, 25, 60, 10.620160
700000, 25, 61, 0.072000
700000, 25, 62, 10.548160
700000, 25, 63, 0.072000
700000, 25, 64, 10.548160
700000, 25, 65, 10.548160
700000, 26, 1, 10.548160
700000, 26, 2, 10.620160
700000, 26, 3, 0.144000
700000, 26, 4, 0.144000
700000, 26, 5, 10.562560
700000, 26, 6, 21.240320
700000, 26, 8, 0.072000
700000, 27, 1, 10.620160
700000, 27, 4, 10.620160
700000, 27, 6, 21.096320
700000, 27, 7, 31.644480
700000, 28, 2, 0.072000
700000, 28, 3, 21.096320
700000, 28, 6, 10.548160
700000, 28, 7, 0.072000
700000, 28, 8, 10.653760
